,pred_str,text
670,de depp isch nebeder iknolte au sperenegrulzänd gc,de depp isch näbedem nick nolte au usfüehrende produzent gsi
671,die chemisch stk turähnd let starcht tere vo fluegi,di chemisch struktur ähndlet starch dere vo fluoxetin
672,in wede tretenel en bäcktig vor em sinig ufgäffä,si werded traditionell am dunstig vorem aschermittwuch gässe
673,ide folbende jahr isch es de mehrfacha bründedige dur franseeschi truckpbacho,i de folgende jahr isches zu mehrfache plünderige dur französischi truppe cho
674,de falhauert isch nöde weite himel basiert er hat villmehen si stem fähler ufdeckt,de fall hauert isch nöd us heiterem himmel passiert er hät vill meh en systemfähler ufdeckt
675,bundesräträ ve zojetischi und russischi mi niste,bundesrät träffed sowjetischi und russischi minister
676,en iliowarte sind momentaem ussterbe bebro,e million arte sind momentan vom ussterbe bedroht
677,elini he di bichäber e neibipe bi ne nutignuh,vorallem het er sich aber en name als spezialist für noi musig gmacht
678,ruffie hätde sich zim könesreelah,drufhi hät er sich zum könig usrüefe lah
679,er ish ichigründer vom lichtische e verba gsi,er isch mitbegründer vom lettische pureverband gsi
680,hie massnan zurcverbesterig vo dermähriklag ish defure lopi widerstan gscte,die massnahm zur verbesserig vo de ernährigslag isch ide puurelobby uf widerstand gstosse
681,datebe isch sin glunge die re belische barönd spalte e nachenand zbesige,dadebi ischs ihm glunge di rebellische barön zspalte und nachenand zbesige
682,hutetärte deiverid piein vor,kritiker wärfed de regierig pinkwashing vor
683,de uesbäter a d schamp hät uf dos serschmitrohige rergiert,de uspresidänt donald trump hät uf das zerst mit drohige reagiert
684,der sächse füfzgiärig wil für defti bte ständera ziz vo ardeckoleg jochimeder wo zrukträttet verteidige,de sächsefüfzgjährig will fürd fdp de ständeratsitz vom parteikolleg joachim eder wo zruggträtted verteidige
685,de scheffoh läderach sch wä gsinerechrischtliche überzügig as frauefehndlich ond home vopet worde,de chef vo läderach isch wäg sinere christliche überzügig als frauefeindlich und homophob bezeichned worde
686,ja natül ische sindter nationals ränne ezeehlli useforberüfe,ja natürli isch es internationals renne e spezielli useforgerig
687,nei hät si gseitgwder prüehled,nei hät si gseit und luter brüeled
688,aberädwidlersdbroche wose sid gweigeretthät,aber er hät nöd widersproche wo si sich gweigered hät
689,ch mil röt as sdu nowitermitineremort triesch,ich will nöd dass du no witer mit dinere mueter stritisch
690,en tti be nidach niten tdind enänt wbwent witt,am zistig und mittwuch nur zum teil sunnig allgemein schwül und gwittrig
691,müickewächte di täcktbi di gi trikt,d schneeflocke wachsed us sächseggige iskristall
692,si mo nita sumaruga bin se flro und dankbae arbegiständera,simmonetta sommaruga ich bin sehr froh und dankbar fürd arbet im ständerat
693,e isch bi khlitaboblitische fraggä ehrplötz,de isch bi klimapolitische frage eher ufd chlötz
694,ä dd trinitegäpde biebi wät pränte bitnetti chräkt hät  ätena gheie,es gäbi zwenig wüsseschaftlichi bewis dass s pflanzeschutzmittel chräbs git häts dazumal gheisse
695,im kanvernarau chame drum keinstatlangegseh,im kanton aargau chamer drum kein stadtlandgrabe gseh
696,de ellgreko hät villereligössi bilder ond bortres usgmalt,de el greco hät vill religiösi bilder und portraits usgmalt
697,de tof hä behäteg de fi ufdag fomeckei in konpe ibr oltipakipebi het,de joyce hät behauptet dass sin uftrag vom shackleton im d kontrolle über alli schlitteaktivitäte geh hät
698,d hauptawändig isch gägebreitblettrigi uchrüter widistle chro derpsche winde und storch schnabel gficktet,d hauptahwändig isch gäge breitblättrigi uchrüter wie distle chrotepösche winde und storchschnabel grichtet
699,d de häe näverübe,de sam hät sich d nase gribe
700,ich stiwize vorats chammere,ich stibitz ihn us de vorratschammere
701,er isch ös wos es cheeklät hät,er isches wo oises chind klaut hät
702,bu mstwert sich hu i uaab,drum stürz ich au hi und da ab
703,sini oberfächi isch unnebe gsi,sini oberflächi isch unebe gsi
704,in melber isch er im halpfinal an novaktakowitscht gscheiteret,in melbourne ischer im halbfinal am novak djokovic gscheitered
705,das gält zöll lud barmelän scho dasiahdi gsezt werde,das gäld söll lut parmelin scho das jahr igsetzt werde
706,d hegi su siilriu snögla,de hegi sini ufzgi bim klimaschutz nöd gmacht
707,upuslzheretitdansaumid,und versichereti wo für das zahle münd
708,sofelgekurus hätbi s vorchurtnimetude noiebannast,s boufellige kurhus hät bis vor churzem nüme zude noie bahn passt
709,uteeme wirch d um ne ande,s unternehme wirbt um noi chunde
710,wo häsch s hüsssesteck,wo häsch s chies versteckt
711,fänster us kostoff cund sehrändlich usgse wi holzigi fänster wif de volie flächi holtstuktur abdruckt werdä chand,fänster us kunststoff chönd sehr ähnlich usgseh wie holzigi fänster will uf de folieflächi holzstruktur abdruckt werde chan
712,dän isc si als ussakospondäntind ufsempferziskog gange und isch korespondänti ni de vest shwitz gsiivasizruckhosch,dänn isch si als usakorrespondäntin uf san francisco gange und isch korrespondäntin ide westschwiz gsi wosi zrugg cho isch
713,zuesälich häts villpesen elli wächslut gh,zuesätzlich häts vill personelli wächsel geh
714,di gänd au mee us,die gänd au meh us
715,de hnte betäliw händ  bim ur wälde vrezänt la rutem brebig przän und apewänrodemg egri prozänk go,di chlinschti beteiligung händ d kantön uri mit zweiedrisg prozänt glarus mit drüedrisg prozänt und appezell innerrhode mit vieredrisg prozänt gha
716,färn ahrchau und graecingede mälifed neuierewörd,bern aargau und graubünde mälded noi rekörd
717,tsäntlich habudezubeschlagibeko,die hät schlussändlich au de zueschlag übercho
718,för das müs sed eheblichli sicherheitzs bedänke da si wi zum ischientstorm,für das müssted erheblichi sicherheitsbedänke da si wie zum bispil en sturm
719,wide gschichtie superlig het abtspiltä gäh wo viert partie unintschide usgange sind,ide gschicht vode super leage häts acht spiltäg geh wo vier partie unentschide usgange sind
720,rgohl vode berlinne zwahled aber nachscüettig ermitel vode gesteber,d goal vode berliner falled aber nach güetiger mithilf vode gastgäber
721,idrigechtie ipertiegäge kt äh o no in bleechgänhet,i de übrige spil stönd drü partie gäge teams ah wo no umd playoffs kämpfed
722,coicickbeiflii arbeisschoftk,politik beiflussi ihri arbet nöd d wüsseschaft
723,cicinaschelig wör de corsichtig itsch,bide nahstellig wird er vorsichtig und schüch
724,nöbrut stit sätel und fläppant,mer brucht stift zättel und chläbband
725,d fraue ahrbeide tfälder un mache krälli schmock wo si de turiste vechaufet,d fraue bearbeitet d fälder und mached chrällelischmuck wo si de touriste verchaufed
726,si isch alls verzierig entvedediräkt ode mitere krdla de chappa ahgmacht,si isch als verzierig entweder direkt oder mitere kordle ade chappe ahgmacht
727,z vorbet fürdas projekt isch am marsel düscschansüss schachtlihm koffer gse,s vorbild für das projekt isch am marcel duchamps sis schachtel im koffer gsi
728,de gistekri isch emolckere,de grössti betrieb isch e molkerei
729,e gnau ji fesstlegig fom strick verlaufv isch aber nig beschlosse wore,e gnaui festlegig vom streckeverlauf isch aber nonig beschlosse worde
730,de erige nän webe obeläctet gi,de inneri fride in england isch aber nur oberflächlich gsi
731,wnd im fomitdübe grona erus sit dbeti onide shwiz,de bund informiert über d coronavirussituation ide schwiz
